#	$Id: observatories.dat,v 2.0 2001/09/14 19:05:06 garyb Exp $	
# File with data on observatories
500    0:00:00     0:00:00    -6378137.  Geocenter
099 +334:28:12.00 +61:02:44.87 1711.5 Lahti <http://www.saunalahti.fi/~jsobser/>
100 +335:52:12.00 +62:24:26.40  481.5 Ähtäri
101 +323:46:04.08 +49:48:47.14   50.7 Kharkov
102 +323:14:25.69 +55:31:12.51  121.7 Zvenigorod <http://www.inasan.rssi.ru/rus/zvenigorod/>
104 +349:11:44.88 +43:52:14.75  893.6 San Marcello Pistoiese <http://www.gamp-pt.net/>
105 +322:25:45.84 +55:34:35.32  118.4 Moscow
106 +345:55:44.04 +45:45:12.91  639.4 Črni Vrh <http://www.observatorij.org/>
109 +356:55:46.20 +36:32:55.60   78.2 Algiers-Kouba
110 +320:35:06.00 +57:00:49.20   25.3 Rostov
111 +349:01:40.44 +43:29:11.98   20.9 Piazzano Observatory, Florence
112 +349:05:45.96 +45:17:28.98   43.5 Pleiade Observatory, Verona
113 +346:59:00.24 +50:29:16.51  445.6 Volkssternwarte Drebach, Schoenbrunn <http://www.sternwarte-drebach.de/>
114 +318:34:20.28 +43:27:48.93 1975.4 Engelhardt Observatory, Zelenchukskaya Station
115 +318:33:30.24 +43:27:40.17 1981.8 Zelenchukskaya
116 +348:24:15.12 +47:55:25.96  436.2 Giesing
117 +348:27:41.40 +47:55:17.05  511.5 Sendling
118 +342:43:33.60 +48:10:55.17  481.0 Astronomical and Geophysical Observatory, Modra <http://www.daa.fmph.uniba.sk/agonews>
119 +317:10:48.00 +41:33:45.20 1510.3 Abastuman
120 +346:16:26.04 +45:05:06.79  161.9 Višnjan <http://www.astro.hr/>
121 +323:03:47.16 +49:27:10.58  114.0 Kharkov University, Chuguevskaya Station <http://www.astron.kharkov.ua/asteroids/asteroids.html>
122 +356:29:47.40 +43:50:50.22 1207.5 Pises Observatory
123 +315:42:29.88 +40:08:43.72 1420.4 Byurakan
124 +357:44:42.00 +43:24:30.03   92.3 Castres
125 +315:12:37.80 +41:31:34.48  340.0 Tbilisi
126 +350:12:34.92 +43:56:27.10  274.7 Monte Viseggi <http://www.astrofilispezzini.org/>
127 +353:01:13.08 +50:34:17.46   16.1 Bornheim
128 +313:59:36.20 +51:21:02.68    8.3 Saratov
129 +314:04:48.00 +38:56:47.11 2386.3 Ordubad
130 +349:45:33.48 +45:28:26.55  752.4 Lumezzane <http://www.astrofilibresciani.it/>
131 +355:16:30.00 +44:29:04.70  278.5 Observatoire de l'Ardeche
132 +354:45:14.04 +43:55:15.62  443.8 Bedoin
134 +348:30:56.88 +50:44:24.72  302.4 Groszschwabhausen
135 +310:52:44.40 +55:36:37.98   12.2 Kasan
136 +311:11:03.84 +55:39:36.32   53.1 Engelhardt Observatory, Kasan
